Rk,G,Date,Series,Tm,Opp,G#,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc.1,Home/Away,Away,Home,Win/Loss,Point Diff,Stint,MP(dec)
18.0,5.0,2007-05-06,ECS,CLE,NJN,1.0,W (+4),1.0,46:01,8.0,21.0,0.381,1.0,4.0,0.25,4.0,6.0,0.667,2.0,9.0,11.0,7.0,1.0,1.0,3.0,2.0,21.0,15.6,6.0,0.444,0.405,4.3,23.5,13.0,27.4,1.2,1.8,11.3,25.8,103.0,91.0,15.6,H,0.0,1.0,W,4.0,CLE(06-10),46.016666666666666
19.0,6.0,2007-05-08,ECS,CLE,NJN,2.0,W (+10),1.0,45:49,12.0,24.0,0.5,3.0,7.0,0.429,9.0,13.0,0.692,0.0,1.0,1.0,12.0,3.0,0.0,2.0,2.0,36.0,31.3,8.0,0.606,0.563,0.0,3.2,1.3,49.4,3.6,0.0,6.3,30.9,138.0,105.0,31.3,H,0.0,1.0,W,10.0,CLE(06-10),45.81666666666667
20.0,7.0,2007-05-12,ECS,CLE,NJN,3.0,L (-11),1.0,44:08,5.0,16.0,0.313,1.0,5.0,0.2,7.0,7.0,1.0,0.0,6.0,6.0,12.0,0.0,0.0,2.0,2.0,18.0,16.2,-12.0,0.472,0.344,0.0,18.1,8.9,55.4,0.0,0.0,9.5,24.5,107.0,114.0,16.2,@,1.0,0.0,L,-11.0,CLE(06-10),44.13333333333333
21.0,8.0,2007-05-14,ECS,CLE,NJN,4.0,W (+2),1.0,46:20,9.0,16.0,0.563,2.0,3.0,0.667,10.0,15.0,0.667,0.0,9.0,9.0,7.0,0.0,0.0,3.0,1.0,30.0,24.6,9.0,0.664,0.625,0.0,19.8,11.1,41.0,0.0,0.0,11.7,28.4,123.0,98.0,24.6,@,1.0,0.0,W,2.0,CLE(06-10),46.333333333333336
22.0,9.0,2007-05-16,ECS,CLE,NJN,5.0,L (-11),1.0,42:47,5.0,14.0,0.357,0.0,2.0,0.0,10.0,11.0,0.909,3.0,6.0,9.0,5.0,2.0,1.0,5.0,4.0,20.0,15.3,-15.0,0.531,0.357,7.2,18.2,12.0,30.5,2.6,2.3,21.0,26.0,101.0,93.0,15.3,H,0.0,1.0,L,-11.0,CLE(06-10),42.78333333333333
23.0,10.0,2007-05-18,ECS,CLE,NJN,6.0,W (+16),1.0,38:53,8.0,20.0,0.4,1.0,5.0,0.2,6.0,9.0,0.667,1.0,7.0,8.0,8.0,1.0,0.0,2.0,4.0,23.0,16.8,26.0,0.48,0.425,2.9,22.2,12.0,42.7,1.4,0.0,7.7,33.4,107.0,84.0,16.8,@,1.0,0.0,W,16.0,CLE(06-10),38.88333333333333
24.0,11.0,2007-05-21,ECF,CLE,DET,1.0,L (-3),1.0,45:22,5.0,15.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,9.0,4.0,1.0,2.0,1.0,10.0,13.5,-5.0,0.333,0.333,2.2,22.7,11.8,35.7,5.2,1.8,11.8,17.9,87.0,89.0,13.5,@,1.0,0.0,L,-3.0,CLE(06-10),45.36666666666667
25.0,12.0,2007-05-24,ECF,CLE,DET,2.0,L (-3),1.0,44:41,7.0,19.0,0.368,0.0,1.0,0.0,5.0,7.0,0.714,0.0,6.0,6.0,7.0,3.0,0.0,6.0,1.0,19.0,11.0,-6.0,0.43,0.368,0.0,16.5,8.5,33.4,3.9,0.0,21.4,31.2,83.0,92.0,11.0,@,1.0,0.0,L,-3.0,CLE(06-10),44.68333333333333
26.0,13.0,2007-05-27,ECF,CLE,DET,3.0,W (+6),1.0,46:07,12.0,21.0,0.571,2.0,3.0,0.667,6.0,9.0,0.667,1.0,8.0,9.0,9.0,2.0,0.0,3.0,2.0,32.0,28.5,6.0,0.641,0.619,3.3,23.1,13.8,45.7,2.6,0.0,10.7,33.4,126.0,99.0,28.5,H,0.0,1.0,W,6.0,CLE(06-10),46.11666666666667
27.0,14.0,2007-05-29,ECF,CLE,DET,4.0,W (+4),1.0,44:17,8.0,19.0,0.421,1.0,5.0,0.2,8.0,9.0,0.889,0.0,7.0,7.0,11.0,3.0,0.0,3.0,0.0,25.0,24.3,-4.0,0.544,0.447,0.0,18.5,10.3,55.9,3.7,0.0,11.6,29.8,110.0,95.0,24.3,H,0.0,1.0,W,4.0,CLE(06-10),44.28333333333333
