Rk,G,Date,Series,Tm,Unnamed: 5,Opp,G#,Unnamed: 8,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Away,Home,Outcome,Point Diff
141.0,3.0,2014-04-26,EC1,MIA,@,CHA,3.0,W (+13),1.0,35:59,10.0,18.0,0.556,1.0,2.0,0.5,9.0,10.0,0.9,0.0,10.0,10.0,6.0,2.0,0.0,2.0,1.0,30.0,27.8,20.0,1.0,0.0,W,13.0
142.0,4.0,2014-04-28,EC1,MIA,@,CHA,4.0,W (+11),1.0,42:54,10.0,19.0,0.526,1.0,5.0,0.2,10.0,12.0,0.833,0.0,7.0,7.0,9.0,3.0,1.0,2.0,3.0,31.0,29.8,12.0,1.0,0.0,W,11.0
143.0,5.0,2014-05-06,ECS,MIA,0,BRK,1.0,W (+21),1.0,36:21,10.0,15.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,2.0,22.0,17.7,10.0,0.0,1.0,W,21.0
144.0,6.0,2014-05-08,ECS,MIA,0,BRK,2.0,W (+12),1.0,39:07,9.0,18.0,0.5,0.0,3.0,0.0,4.0,6.0,0.667,0.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,22.0,15.4,6.0,0.0,1.0,W,12.0
145.0,7.0,2014-05-10,ECS,MIA,@,BRK,3.0,L (-14),1.0,39:39,8.0,15.0,0.533,3.0,7.0,0.429,9.0,10.0,0.9,0.0,8.0,8.0,5.0,1.0,1.0,2.0,2.0,28.0,25.1,-14.0,1.0,0.0,L,-14.0
146.0,8.0,2014-05-12,ECS,MIA,@,BRK,4.0,W (+6),1.0,43:28,16.0,24.0,0.667,3.0,6.0,0.5,14.0,19.0,0.737,0.0,6.0,6.0,2.0,3.0,0.0,1.0,5.0,49.0,39.8,13.0,1.0,0.0,W,6.0
147.0,9.0,2014-05-14,ECS,MIA,0,BRK,5.0,W (+2),1.0,43:36,6.0,14.0,0.429,2.0,5.0,0.4,15.0,17.0,0.882,2.0,7.0,9.0,5.0,0.0,1.0,5.0,1.0,29.0,23.1,4.0,0.0,1.0,W,2.0
148.0,10.0,2014-05-18,ECF,MIA,@,IND,1.0,L (-11),1.0,40:50,11.0,18.0,0.611,1.0,5.0,0.2,2.0,2.0,1.0,1.0,9.0,10.0,5.0,3.0,0.0,4.0,3.0,25.0,21.5,-13.0,1.0,0.0,L,-11.0
149.0,11.0,2014-05-20,ECF,MIA,@,IND,2.0,W (+4),1.0,42:21,9.0,18.0,0.5,1.0,5.0,0.2,3.0,6.0,0.5,0.0,7.0,7.0,6.0,2.0,3.0,3.0,3.0,22.0,18.0,4.0,1.0,0.0,W,4.0
150.0,12.0,2014-05-24,ECF,MIA,0,IND,3.0,W (+12),1.0,39:46,9.0,14.0,0.643,1.0,2.0,0.5,7.0,9.0,0.778,1.0,4.0,5.0,7.0,3.0,0.0,6.0,2.0,26.0,22.0,24.0,0.0,1.0,W,12.0
151.0,13.0,2014-05-26,ECF,MIA,0,IND,4.0,W (+12),1.0,35:48,13.0,21.0,0.619,2.0,3.0,0.667,4.0,4.0,1.0,0.0,10.0,10.0,5.0,2.0,0.0,2.0,3.0,32.0,27.8,10.0,0.0,1.0,W,12.0
152.0,14.0,2014-05-28,ECF,MIA,@,IND,5.0,L (-3),1.0,24:21,2.0,10.0,0.2,1.0,3.0,0.333,2.0,3.0,0.667,1.0,1.0,2.0,4.0,0.0,1.0,3.0,5.0,7.0,-0.1,1.0,1.0,0.0,L,-3.0
153.0,15.0,2014-05-30,ECF,MIA,0,IND,6.0,W (+25),1.0,31:39,8.0,12.0,0.667,0.0,0.0,0.0,9.0,9.0,1.0,1.0,3.0,4.0,6.0,1.0,1.0,2.0,1.0,25.0,24.9,27.0,0.0,1.0,W,25.0
154.0,16.0,2014-06-05,FIN,MIA,@,SAS,1.0,L (-15),1.0,32:53,9.0,17.0,0.529,2.0,3.0,0.667,5.0,6.0,0.833,3.0,3.0,6.0,3.0,3.0,0.0,4.0,1.0,25.0,20.0,0.0,1.0,0.0,L,-15.0
155.0,17.0,2014-06-08,FIN,MIA,@,SAS,2.0,W (+2),1.0,37:36,14.0,22.0,0.636,3.0,3.0,1.0,4.0,5.0,0.8,2.0,8.0,10.0,3.0,2.0,0.0,4.0,3.0,35.0,27.5,11.0,1.0,0.0,W,2.0
156.0,18.0,2014-06-10,FIN,MIA,0,SAS,3.0,L (-19),1.0,39:49,9.0,14.0,0.643,2.0,4.0,0.5,2.0,3.0,0.667,1.0,4.0,5.0,7.0,5.0,0.0,7.0,5.0,22.0,18.2,-21.0,0.0,1.0,L,-19.0
157.0,19.0,2014-06-12,FIN,MIA,0,SAS,4.0,L (-21),1.0,37:39,10.0,17.0,0.588,4.0,8.0,0.5,4.0,6.0,0.667,0.0,8.0,8.0,2.0,0.0,0.0,3.0,0.0,28.0,20.1,-21.0,0.0,1.0,L,-21.0
158.0,20.0,2014-06-15,FIN,MIA,@,SAS,5.0,L (-17),1.0,41:16,10.0,21.0,0.476,3.0,9.0,0.333,8.0,9.0,0.889,1.0,9.0,10.0,5.0,0.0,2.0,1.0,1.0,31.0,26.8,-16.0,1.0,0.0,L,-17.0
159.0,1.0,2015-04-19,EC1,CLE,0,BOS,1.0,W (+13),1.0,41:55,8.0,18.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,0.0,6.0,6.0,7.0,2.0,1.0,5.0,2.0,20.0,13.8,3.0,0.0,1.0,W,13.0
160.0,2.0,2015-04-21,EC1,CLE,0,BOS,2.0,W (+8),1.0,41:48,11.0,22.0,0.5,1.0,5.0,0.2,7.0,8.0,0.875,1.0,8.0,9.0,7.0,0.0,2.0,6.0,3.0,30.0,20.8,11.0,0.0,1.0,W,8.0
161.0,3.0,2015-04-23,EC1,CLE,@,BOS,3.0,W (+8),1.0,41:58,13.0,26.0,0.5,1.0,5.0,0.2,4.0,5.0,0.8,1.0,10.0,11.0,4.0,4.0,2.0,2.0,1.0,31.0,27.1,0.0,1.0,0.0,W,8.0
162.0,4.0,2015-04-26,EC1,CLE,@,BOS,4.0,W (+8),1.0,46:22,10.0,24.0,0.417,1.0,7.0,0.143,6.0,10.0,0.6,0.0,10.0,10.0,8.0,3.0,1.0,6.0,2.0,27.0,18.1,7.0,1.0,0.0,W,8.0
163.0,5.0,2015-05-04,ECS,CLE,0,CHI,1.0,L (-7),1.0,41:56,9.0,22.0,0.409,0.0,3.0,0.0,1.0,2.0,0.5,4.0,11.0,15.0,9.0,3.0,1.0,6.0,4.0,19.0,15.3,-11.0,0.0,1.0,L,-7.0
164.0,6.0,2015-05-06,ECS,CLE,0,CHI,2.0,W (+15),1.0,34:13,13.0,29.0,0.448,0.0,2.0,0.0,7.0,9.0,0.778,3.0,5.0,8.0,5.0,2.0,1.0,2.0,2.0,33.0,24.1,31.0,0.0,1.0,W,15.0
165.0,7.0,2015-05-08,ECS,CLE,@,CHI,3.0,L (-3),1.0,43:39,8.0,25.0,0.32,1.0,7.0,0.143,10.0,11.0,0.909,2.0,6.0,8.0,14.0,1.0,1.0,7.0,4.0,27.0,18.4,1.0,1.0,0.0,L,-3.0
